county_name,state_name
Baldwin,Alabama
Hale,Alabama
Sumter,Alabama
Talladega,Alabama
Covington,Alabama
Dallas,Alabama
Perry,Alabama
Geneva,Alabama
Lamar,Alabama
Jackson,Alabama
Cherokee,Alabama
Marshall,Alabama
Wilcox,Alabama
Clay,Alabama
Escambia,Alabama
Franklin,Alabama
Lauderdale,Alabama
Clarke,Alabama
Coffee,Alabama
Monroe,Alabama
Conecuh,Alabama
Crenshaw,Alabama
Houston,Alabama
Autauga,Alabama
Butler,Alabama
Greene,Alabama
Tuscaloosa,Alabama
Henry,Alabama
Pike,Alabama
St. Clair,Alabama
Bullock,Alabama
Calhoun,Alabama
Limestone,Alabama
Cleburne,Alabama
Colbert,Alabama
Dale,Alabama
Randolph,Alabama
Blount,Alabama
Tallapoosa,Alabama
Walker,Alabama
Jefferson,Alabama
Madison,Alabama
Barbour,Alabama
Coosa,Alabama
Cullman,Alabama
Lee,Alabama
DeKalb,Alabama
Pickens,Alabama
Choctaw,Alabama
Russell,Alabama
Bibb,Alabama
Chambers,Alabama
Montgomery,Alabama
Shelby,Alabama
Washington,Alabama
Macon,Alabama
Marion,Alabama
Mobile,Alabama
Winston,Alabama
Chilton,Alabama
Elmore,Alabama
Etowah,Alabama
Morgan,Alabama
Fayette,Alabama
Lawrence,Alabama
Lowndes,Alabama
Marengo,Alabama
Skagway,Alaska
Southeast Fairbanks,Alaska
Bethel,Alaska
Chugach,Alaska
Hoonah-Angoon,Alaska
Haines,Alaska
Kodiak Island,Alaska
Northwest Arctic,Alaska
Kusilvak,Alaska
Wrangell,Alaska
Sitka,Alaska
Ketchikan Gateway,Alaska
Petersburg,Alaska
Prince of Wales-Hyder,Alaska
Bristol Bay,Alaska
Dillingham,Alaska
Aleutians East,Alaska
Yakutat,Alaska
Matanuska-Susitna,Alaska
Denali,Alaska
Nome,Alaska
Anchorage,Alaska
Juneau,Alaska
North Slope,Alaska
Copper River,Alaska
Aleutians West,Alaska
Fairbanks North Star,Alaska
Yukon-Koyukuk,Alaska
Kenai Peninsula,Alaska
Lake and Peninsula,Alaska
Navajo,Arizona
Yavapai,Arizona
Apache,Arizona
Graham,Arizona
Mohave,Arizona
Pinal,Arizona
Coconino,Arizona
La Paz,Arizona
Yuma,Arizona
Gila,Arizona
Greenlee,Arizona
Cochise,Arizona
Maricopa,Arizona
Pima,Arizona
Santa Cruz,Arizona
Lawrence,Arkansas
Yell,Arkansas
Boone,Arkansas
Calhoun,Arkansas
Clark,Arkansas
Ouachita,Arkansas
Sevier,Arkansas
Baxter,Arkansas
Columbia,Arkansas
Greene,Arkansas
Marion,Arkansas
Washington,Arkansas
Arkansas,Arkansas
White,Arkansas
Woodruff,Arkansas
Crawford,Arkansas
Faulkner,Arkansas
Mississippi,Arkansas
Ashley,Arkansas
Bradley,Arkansas
